feature,importance
feature_7,0.17047001
feature_5,0.0665252
feature_48,0.027097896
feature_56,0.02660775
feature_50,0.026525501
feature_49,0.026304882
feature_22,0.02512068
feature_21,0.0244757
feature_12,0.021318903
feature_11,0.020481428
feature_42,0.019558318
feature_25,0.019218685
feature_3,0.019089976
feature_10,0.018959504
feature_0,0.01865633
feature_53,0.018541612
feature_18,0.01771574
feature_47,0.017102312
feature_15,0.016618345
feature_29,0.015858095
feature_6,0.015396032
feature_14,0.015154977
feature_41,0.0151398145
feature_40,0.014914811
feature_16,0.0148791075
feature_20,0.014828556
feature_1,0.014183993
feature_43,0.0136840865
feature_4,0.0136504695
feature_32,0.013597026
feature_24,0.013588285
feature_37,0.013348358
feature_2,0.013076215
feature_38,0.012685065
feature_30,0.012667663
feature_13,0.012642536
feature_9,0.012631202
feature_33,0.012567825
feature_23,0.012510875
feature_27,0.012380185
feature_52,0.012143524
feature_45,0.012087638
feature_8,0.011937403
feature_34,0.011615366
feature_19,0.011007498
feature_35,0.010816978
feature_17,0.010731194
feature_28,0.0106665455
feature_46,0.009893775
feature_54,0.009326105
feature_62,0.0
feature_61,0.0
feature_60,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_44,0.0
feature_55,0.0
feature_36,0.0
feature_51,0.0
feature_39,0.0
feature_26,0.0
feature_31,0.0
feature_63,0.0
